,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
39521,2018-01-21,Sudan,Morocco,0,0,African Nations Championship,Casablanca,Morocco,True
39522,2018-01-22,Namibia,Zambia,1,1,African Nations Championship,Casablanca,Morocco,True
39523,2018-01-22,Uganda,Ivory Coast,0,0,African Nations Championship,Marrakech,Morocco,True
39524,2018-01-23,Equatorial Guinea,Nigeria,1,3,African Nations Championship,Agadir,Morocco,True
39525,2018-01-23,Rwanda,Libya,0,1,African Nations Championship,Tangiers,Morocco,True
39526,2018-01-24,Burkina Faso,Cameroon,1,1,African Nations Championship,Tangiers,Morocco,True
39527,2018-01-24,Congo,Angola,0,0,African Nations Championship,Agadir,Morocco,True
39529,2018-01-27,Morocco,Namibia,2,0,African Nations Championship,Casablanca,Morocco,False
39530,2018-01-27,Zambia,Sudan,0,1,African Nations Championship,Marrakech,Morocco,True
39532,2018-01-28,Congo,Libya,1,1,African Nations Championship,Agadir,Morocco,True
39533,2018-01-28,Nigeria,Angola,2,1,African Nations Championship,Tangiers,Morocco,True
39538,2018-01-31,Morocco,Libya,3,1,African Nations Championship,Casablanca,Morocco,False
39539,2018-01-31,Sudan,Nigeria,0,1,African Nations Championship,Marrakech,Morocco,True
39541,2018-02-03,Libya,Sudan,1,1,African Nations Championship,Marrakech,Morocco,True
39542,2018-02-04,Morocco,Nigeria,4,0,African Nations Championship,Casablanca,Morocco,False
39563,2018-03-22,Kyrgyzstan,Burma,5,1,AFC Asian Cup qualification,Incheon,South Korea,True
39633,2018-03-27,Afghanistan,Cambodia,2,1,AFC Asian Cup qualification,Dushanbe,Tajikistan,True
39638,2018-03-27,Bahrain,Turkmenistan,4,0,AFC Asian Cup qualification,Riffa,Bahrain,False
39641,2018-03-27,Burma,Macau,1,0,AFC Asian Cup qualification,Rangoon,Burma,False
39650,2018-03-27,Jordan,Vietnam,1,1,AFC Asian Cup qualification,Amman,Jordan,False
39651,2018-03-27,North Korea,Hong Kong,2,0,AFC Asian Cup qualification,P'yŏngyang,North Korea,False
39653,2018-03-27,Kyrgyzstan,India,2,1,AFC Asian Cup qualification,Bishkek,Kyrgyzstan,False
39655,2018-03-27,Lebanon,Malaysia,2,1,AFC Asian Cup qualification,Beirut,Lebanon,False
39657,2018-03-27,Maldives,Bhutan,7,0,AFC Asian Cup qualification,Malé,Maldives,False
39664,2018-03-27,Oman,Palestine,1,0,AFC Asian Cup qualification,Muscat,Oman,False
39666,2018-03-27,Philippines,Tajikistan,2,1,AFC Asian Cup qualification,Manila,Philippines,False
39675,2018-03-27,Chinese Taipei,Singapore,1,0,AFC Asian Cup qualification,Taipei,Chinese Taipei,False
39681,2018-03-27,Yemen,Nepal,2,1,AFC Asian Cup qualification,Doha,Qatar,True
39701,2018-05-27,Madagascar,Mozambique,2,1,COSAFA Cup,Polokwane,South Africa,True
39702,2018-05-27,Comoros,Seychelles,1,1,COSAFA Cup,Polokwane,South Africa,True
39713,2018-05-28,Malawi,Mauritius,0,1,COSAFA Cup,Polokwane,South Africa,True
39714,2018-05-28,Angola,Botswana,1,2,COSAFA Cup,Polokwane,South Africa,True
39721,2018-05-29,Madagascar,Seychelles,1,1,COSAFA Cup,Polokwane,South Africa,True
39722,2018-05-29,Comoros,Mozambique,0,3,COSAFA Cup,Polokwane,South Africa,True
39726,2018-05-30,Malawi,Botswana,1,1,COSAFA Cup,Polokwane,South Africa,True
39727,2018-05-30,Angola,Mauritius,1,0,COSAFA Cup,Polokwane,South Africa,True
39728,2018-05-30,Estonia,Lithuania,2,0,Baltic Cup,Rakvere,Estonia,False
39732,2018-05-31,Mozambique,Seychelles,2,1,COSAFA Cup,Polokwane,South Africa,True
39733,2018-05-31,Comoros,Madagascar,0,1,COSAFA Cup,Polokwane,South Africa,True
39735,2018-05-31,Ellan Vannin,Cascadia,4,1,CONIFA World Football Cup,Sutton,England,True
39736,2018-05-31,Barawa,Tamil Eelam,4,0,CONIFA World Football Cup,Bromley,England,False
39737,2018-05-31,Abkhazia,Tibet,3,0,CONIFA World Football Cup,Enfield,England,True
39738,2018-05-31,Northern Cyprus,Kárpátalja,1,1,CONIFA World Football Cup,Enfield,England,True
39739,2018-05-31,Székely Land,Tuvalu,4,0,CONIFA World Football Cup,Haringey,England,True
39740,2018-05-31,Padania,Matabeleland,6,1,CONIFA World Football Cup,Sutton,England,True
39741,2018-05-31,United Koreans in Japan,Western Armenia,0,0,CONIFA World Football Cup,Carshalton,England,True
39742,2018-05-31,Panjab,Kabylia,8,0,CONIFA World Football Cup,Slough,England,True
39750,2018-06-01,Botswana,Mauritius,6,0,COSAFA Cup,Polokwane,South Africa,True
39751,2018-06-01,Angola,Malawi,0,0,COSAFA Cup,Polokwane,South Africa,True
39752,2018-06-01,India,Chinese Taipei,5,0,Intercontinental Cup,Mumbai,India,False
39764,2018-06-02,Zambia,Namibia,0,0,COSAFA Cup,Polokwane,South Africa,True
39765,2018-06-02,Lesotho,Eswatini,1,0,COSAFA Cup,Polokwane,South Africa,True
39766,2018-06-02,Latvia,Estonia,1,0,Baltic Cup,Riga,Latvia,False
39767,2018-06-02,Kenya,New Zealand,2,1,Intercontinental Cup,Mumbai,India,True
39768,2018-06-02,Ellan Vannin,Tamil Eelam,2,0,CONIFA World Football Cup,Carshalton,England,True
39769,2018-06-02,Barawa,Cascadia,1,2,CONIFA World Football Cup,Carshalton,England,False
39770,2018-06-02,Abkhazia,Kárpátalja,0,2,CONIFA World Football Cup,Enfield,England,True
39771,2018-06-02,Northern Cyprus,Tibet,3,1,CONIFA World Football Cup,Enfield,England,True
